sample_id,thread_id,role,order_in_thread,text
1,1,post,0,얼마나 인기없으면 글이 안올라오냐
2,1,comment,1,뭐?
3,1,comment,2,?
4,2,post,0,그냥 궁금해서 하는 투표 AI 쓰면 안되는 시험/과제에서 솔직히 쓴 적 있다/없다 투표 투표 기능은 모바일 앱에서 만나보실 수 있어요.
5,2,comment,1,과제는 많이들 ai 조금이라도 써봤을듯
6,2,comment,2,이제는 무조건 쓰는데
7,2,comment,3,쓸 건 써야지.. 철도끼 써보니까 돌도끼 못 쓰겠더라
8,2,comment,4,시험은 안썻는데 과제에 안쓸 수기 잇나?
9,2,comment,5,ai는 이제와서는 고도로 발전한 계산기같은거지
10,2,comment,6,시험은 안쓰고 과제는 쓰지
11,3,post,0,12월에도 용돈줌? 13만원
12,3,comment,1,ㄹㅇ 궁금
13,3,comment,2,1학기때는 안줬던것 같은데...
14,3,comment,3,4개월치 줌
15,3,comment,4,1학기때도 3456 줬을걸
16,3,comment,5,ㅇㅇ 줌
17,3,comment,6,1년에 8번 받음 학기별로 4번 4번 나눠서
18,3,comment,7,3 4 5 6 9 10 11 12
19,4,post,0,종교철학 빌넣 받아주시나요?? 4학년인데 계절을 꼭 들어야되서 ㅠㅠ
20,4,comment,1,4학년이면 받아줄수도 있긴한데 애매
21,4,comment,2,괘씸해서 안받아주지 어짜피 초과학기인데 그냥 다음학기에 들어
22,4,comment,3,이 교수님 빌넣 받긴 하시는데 인기가 많아서 다 받지는 못하시던데
23,4,comment,4,선착순인지 아닌지는 몰라
24,4,comment,5,교수님 성격상 안받아주실 것 같음...
25,4,comment,6,"전 새내기인데 빌넣 메일 보내니까 다음 여름학기때 들으래요 이번에 받아준 사람들 다 3,4학년이라고 말씀하시더라구여 잉잉잉"
26,5,post,0,전전 3.6졸이면 ㅁㅌㅊ임? 전공 성적은 3.9 넘고 기초랑 교양에서 많이 까먹긴함
27,5,comment,1,전평 몇임? 3.45되나
28,5,comment,2,생각보다 높네
29,5,comment,3,그냥 순수 궁금한건데.. 아시는분???
30,5,comment,4,4.1졸이면 ㅁㅌㅊ임?
31,5,comment,5,이건 걍 ㅅㅌㅊ아님?ㄷㄷ
32,5,comment,6,이번에 3.96/4.3 졸 예정인데 현재 기준으로 12등/ 83 인것 같습니다
33,5,comment,7,등수 어디서 봐요?
34,5,comment,8,학사팀 문의요
35,5,comment,9,아직 이번학기 성적이 반영이 안됐는데 어떻게 졸업 석차가 나오나요
36,5,comment,10,"댓글에 ""현재 기준으로"" 그리고 보통 막학기에 gpa에 큰 영향이 갈 정도로 많은 과목을 듣는 사람은 소수라서 큰 변동 없다고 봐도 됩니다"
37,5,comment,11,졸업예정 아니여도 석차보여주나요
38,5,comment,12,생각보다 평균학점 많이 높아요 3.8/4.3이면 20~40%정도였던거같아요
39,5,comment,13,아닌데
40,5,comment,14,20~40%는 너무 후려쳤구요 20%언저리 정도 됩니다 3.8이면
41,5,comment,15,바메공 신소재는 40% 언저리 나와요 지인들 졸업 성적 분포 보면
42,5,comment,16,40까진 아니고 한 30~35사이
43,5,comment,17,전전 내친구는 3.8x인데 졸업할때 50명중에 6등정도였다던데 과바과에 졸업학기 그때마다 또 다른듯
44,5,comment,18,요즘 인플레 심해져서
45,6,post,0,1학점 수업 1학점을 더 따야하는데 1학점 짜리 수업이 뭐가 있을까요? (전공소개 과목 제외)
46,6,comment,1,4학점 수업을 들어
47,6,comment,2,지환도건에 지진파예측하기라고 1학점짜리 수업 있어요 !
48,6,comment,3,su라 부담도 없어요~! 무슨학기에 열리는지는 기억이 안나네용
49,6,comment,4,25년도 1학기에는 열렸어요!
50,6,comment,5,광역동치료
51,6,comment,6,계절학기에 열리는 SU 1학점 SU 과목들 있어요
52,7,post,0,한국어 글쓰기 삽니다 가격제시해주세요..
53,7,comment,1,빌넣 받아주셔요
54,7,comment,2,어느 교수님이요?
55,7,comment,3,정윤나 교수님이요
56,7,comment,4,언제 빌넣 부탁드릴 수 있나요?
57,7,comment,5,지금이요
58,7,comment,6,메일로 부탁드려요?
59,7,comment,7,그럼 뭘로 하게요?
60,8,post,0,"2차 사실상 1인홈 쓰실 분 모집합니다 졸업 직전 원유 두 명 홈매 구합니다 하나는 10am to 1am 연구실 -> 빠른 시일내에 자취런 중도퇴사 하나는 10am to 11pm 연구실 홈 거의 빈 상태로 유지될 예정입니다. 소음x 담배x 쓰레기방치x 음주x 새벽문쾅x 새벽디코깽판일절x 변기 오줌 낭자질 절대x 머리카락 관리 철저, 중도퇴사자 덕에 예치금 정산 이득 가능 ༼ つ ◕_◕ ༽つ 쪽지 댓글 주세요 []~(￣▽￣)~*"
61,8,comment,1,중퇴자있으면 겨울엔 예치금 손해임
