sample_id,A,B,C,thread_id,role,order_in_thread,text,human_preferred_decision,human_comment
26,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,5,post,0,전전 3.6졸이면 ㅁㅌㅊ임? 전공 성적은 3.9 넘고 기초랑 교양에서 많이 까먹긴함,ALLOW,ALLOW,
30,BLOCK,BLOCK,WARN_AND_ALLOW,5,comment,4,4.1졸이면 ㅁㅌㅊ임?,ALLOW,ALLOW,
31,BLOCK,BLOCK,WARN_AND_ALLOW,5,comment,5,이건 걍 ㅅㅌㅊ아님?ㄷㄷ,ALLOW,ALLOW,
53,BLOCK,BLOCK,WARN_AND_ALLOW,7,comment,1,빌넣 받아주셔요,ALLOW,ALLOW,
80,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,10,comment,8,헌급방은 빡셈,ALLOW,ALLOW,
83,BLOCK,BLOCK,ALLOW,10,comment,11,남자답게 해병대에 입대하자,WARN_AND_ALLOW,WARN_AND_ALLOW,
85,BLOCK,BLOCK,WARN_AND_ALLOW,10,comment,13,공군은 사회적으로 나는 폐급이란걸 인정하는거임,WARN_AND_ALLOW,WARN_AND_ALLOW,
86,BLOCK,BLOCK,WARN_AND_ALLOW,10,comment,14,라고 사회생활 안해본애가 얘기하는중 ㅋ,WARN_AND_ALLOW,WARN_AND_ALLOW,
87,BLOCK,BLOCK,WARN_AND_ALLOW,10,comment,15,"친한 애들은 편하다고 존나 부러워하고, 육군 해병대 애들은 3개월 도르 물고 늘어지면서 합리화만 ㅈㄴ하고, 한 30대 후반분들부터는 존나 엘리튼줄 알던데 ㅋㅋ",WARN_AND_ALLOW,WARN_AND_ALLOW,
88,BLOCK,BLOCK,WARN_AND_ALLOW,11,post,0,올해 수능친사람 ㅈㄱㄴ,ALLOW,ALLOW,
104,BLOCK,BLOCK,WARN_AND_ALLOW,12,comment,5,쓰레기 관리직 또는 잡돌이 직무들은 어느회사든 안에서 갈갈갈 돌아가서 비교불가,WARN_AND_ALLOW,WARN_AND_ALLOW,
109,BLOCK,BLOCK,WARN_AND_ALLOW,13,comment,1,지랄? 20대에 이정도 스펙이 가능한거임?,WARN_AND_ALLOW,WARN_AND_ALLOW,
118,BLOCK,BLOCK,WARN_AND_ALLOW,13,comment,10,이 사람들의 주사를 아는 사람: ☠️☠️☠️,ALLOW,ALLOW,
131,BLOCK,BLOCK,WARN_AND_ALLOW,15,post,0,평등과 생명의 가치비교 빠르게 달려오는 기차가 있습니다. 레버를 그대로 두면 여1남1이 죽습니다. 레버를 당기면 남자1명이 죽고 레버를 밀면 여자 1명이 죽습니다. 당신의 선택은? 투표 투표 기능은 모바일 앱에서 만나보실 수 있어요.,BLOCK,BLOCK,
133,BLOCK,BLOCK,ALLOW,15,comment,2,여자 이쁨?,ALLOW,ALLOW,
147,BLOCK,BLOCK,WARN_AND_ALLOW,16,comment,9,개씨발,BLOCK,BLOCK,
148,BLOCK,BLOCK,WARN_AND_ALLOW,16,comment,10,아시이이발,BLOCK,BLOCK,
150,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,17,post,0,제발 새벽에 걸을 때는 쿵쿵 걷지 말고 살살 걸으려는 노력이라도 해라.. 지 안방 마냥 새벽 늦은 시간까지 쿵쿵거리는데 자다가 깰 정도로 시끄럽다 하 진짜... 그것도 2학기 내내 혹시 코뿔소 만큼의 무게를 가진 것 임? 한 번 더 그러면 벌점 신고 넣을게~,ALLOW,ALLOW,
159,BLOCK,BLOCK,WARN_AND_ALLOW,17,comment,9,슬리퍼 신고 좆같이 끌고 걷지마라,BLOCK,BLOCK,
166,BLOCK,BLOCK,WARN_AND_ALLOW,18,comment,6,기공 93.7%가 그렇게 전공고름,ALLOW,ALLOW,
