sample_id,A,B,C,thread_id,role,order_in_thread,text,human_preferred_decision,human_comment
4,BLOCK,BLOCK,WARN_AND_ALLOW,2,post,0,어효 코스프레하는 애들은 하나같이 젖크고 얼굴 이쁘고 빼빼 말랐네,BLOCK,BLOCK,
14,BLOCK,WARN_AND_ALLOW,ALLOW,4,post,0,과제가 공부보다 훨씬 덜 고통스럽다고 느끼는 건 아직 저학년이라서 그런 건가? 공부하다 보면 걍 막막한데 과제가 있어서 숨이라도 쉴 수 있다고 해야 하나... 과제하느라 밤 새고 뒤질 것 같아도 공부보단 나음 이게 학년이 낮아서 그런 건지 아님 학년이 올라가면 더 심해지는 건지 모르겠네 아님 고작 학부 공부 가지고 이런 거 느끼면 그냥 심각하게 멍청한건가,ALLOW,ALLOW,
17,BLOCK,ALLOW,ALLOW,4,comment,3,"비슷한 거 느껴본적 있는데 년차 쌓이니까 뭐가 문제인지 깨달음. ppt만 보지말고, 텍스트북을 정독하면 문제가 해결됨. 시간이 걸리긴 하는데 결국 기초가 없이 요약된것만 보다보면 이해가 안될 수 밖에 없는듯",ALLOW,ALLOW,
34,BLOCK,WARN_AND_ALLOW,ALLOW,7,post,0,ㅈㅈㅣ팩트 일정 이상의 길이부터는 두께 강직도 지속력이 더 중요하다 반박시 섹알못,BLOCK,BLOCK,
35,BLOCK,WARN_AND_ALLOW,ALLOW,7,comment,1,그니까 너가 딱 평균이란 거지?,WARN_AND_ALLOW,WARN_AND_ALLOW,
37,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,8,comment,1,대가 이상한거는 뭐임,ALLOW,ALLOW,
39,BLOCK,BLOCK,WARN_AND_ALLOW,9,post,0,자지 17센치면 상위 몇? 10가능?,BLOCK,BLOCK,
41,BLOCK,BLOCK,WARN_AND_ALLOW,9,comment,2,갸 좆밥인대,BLOCK,BLOCK,
42,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,9,comment,3,Ak 17 glock 이면 ㅈㅂ까진 아니지 않나?,BLOCK,BLOCK,
53,BLOCK,WARN_AND_ALLOW,ALLOW,11,post,0,수위 높은 우울한 얘기 들어볼사람 무려 우울증 커뮤니티에서도 밴 당한 내용임 딱 두 단어니까 궁금한사람 쪽지 ㄱ,WARN_AND_ALLOW,WARN_AND_ALLOW,
60,BLOCK,WARN_AND_ALLOW,ALLOW,11,comment,7,힘들면 병원가자,ALLOW,ALLOW,
73,BLOCK,BLOCK,WARN_AND_ALLOW,12,comment,1,너 ㅅㅂ 남자지,WARN_AND_ALLOW,WARN_AND_ALLOW,
79,BLOCK,WARN_AND_ALLOW,ALLOW,14,post,0,니가 한 환승연애는 사랑같지? 남이 보면 더러움 ㅇㅇ 정상인이면 가질 이별 애도기간 없이 바로 만나는 애들은 사랑이 아니라 결핍임 평생 못고침 둘 다 ㅈㄴ 애정결핍처럼 생기긴 했는데 ㅋㅋ,WARN_AND_ALLOW,WARN_AND_ALLOW,
80,BLOCK,WARN_AND_ALLOW,ALLOW,14,comment,1,이런거 쓰는애들 특:본인은 연애 못하는 중,ALLOW,ALLOW,
82,BLOCK,WARN_AND_ALLOW,ALLOW,14,comment,3,작작해라 이제,ALLOW,ALLOW,
92,BLOCK,BLOCK,WARN_AND_ALLOW,15,post,0,전남친 생각하면서 딸쳐본적 있냐 잊을수 없는 ㅅㅅ 테크닉~,BLOCK,BLOCK,
93,BLOCK,WARN_AND_ALLOW,ALLOW,15,comment,1,너 여자 아니지?,ALLOW,ALLOW,
97,BLOCK,BLOCK,WARN_AND_ALLOW,17,post,0,전여친 생각하면서 딸쳐본사람 있냐 그따뜻하고 미끄러운 쪼임 내 밑에서 앙앙대고 뒤돌아서 엉덩이 빼고 박아달라고 하던모습이 안잊혀진다,BLOCK,BLOCK,
101,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,18,comment,1,본인도 비슷했는데 알빠노 마인드 장착하고 스스로 노력하면 언젠간 고쳐짐 ㅇㅇ 어차피 좀만 보고 안볼사람들인데 괜히 스트레스 받지마셈,ALLOW,ALLOW,
103,WARN_AND_ALLOW,ALLOW,ALLOW,18,comment,3,혼나면서 배우는거임 너 혼내는 상병장들도 일이병 때 많이 혼났음 너만 그런거 아니니 너무 자책하지 말고 일병일호봉이면 인사나 잘 하고 다녀라,ALLOW,ALLOW,
105,BLOCK,WARN_AND_ALLOW,ALLOW,18,comment,5,adhd검사 한번 받아보세요,ALLOW,ALLOW,
106,WARN_AND_ALLOW,WARN_AND_ALLOW,ALLOW,18,comment,6,"기억력 문제가 아니라 지금 일병 한 개니까 그런거에요. 원래 자대오고 일병 꺾일 때까지는 ㅈㄴ 혼란스러우니까, 지금 마인드 유지한 채로 그런갑다 하시면 몸에 익으실겁니다",ALLOW,ALLOW,
110,BLOCK,WARN_AND_ALLOW,ALLOW,18,comment,10,그런 거 너무 다 신경쓰다보면 정신병 걸려요 파이팅합시다!!,ALLOW,ALLOW,
111,BLOCK,WARN_AND_ALLOW,ALLOW,18,comment,11,"자기자신에 대해 기대치가 높고 엄격한 부분이 저랑 비슷하네요. 일상이 반복되고 계속해서 본인이 설정해놓은 것들을 보다 보면 해결될겁니다. 그리고 폐급이라는 이름에 거부감이 크신거 같은데, 이런 노력한다는 거 자체가 폐급이 아닌겁니다. 그리고 폐급소리 좀 들으면 어떤가요 어차피 나중엔 다 잘하실건데 진짜 폐급들한테는 기대도 안주고 정도 안줍니다.",ALLOW,ALLOW,
126,BLOCK,BLOCK,WARN_AND_ALLOW,20,comment,3,바보,ALLOW,ALLOW,
