thread_id,policy,ALLOW,BLOCK,WARN_AND_ALLOW
1,A,2,0,1
1,B,2,0,1
1,C,3,0,0
2,A,7,0,0
2,B,7,0,0
2,C,7,0,0
3,A,8,0,0
3,B,8,0,0
3,C,8,0,0
4,A,6,0,1
4,B,6,0,1
4,C,7,0,0
5,A,16,3,0
5,B,16,2,1
5,C,17,1,1
6,A,7,0,0
6,B,7,0,0
6,C,7,0,0
7,A,8,0,0
7,B,8,0,0
7,C,8,0,0
8,A,7,0,0
8,B,7,0,0
8,C,7,0,0
9,A,5,0,0
9,B,5,0,0
9,C,5,0,0
10,A,9,3,4
10,B,10,1,5
10,C,15,0,1
11,A,9,1,1
11,B,9,0,2
11,C,11,0,0
12,A,8,1,0
12,B,8,0,1
12,C,8,0,1
13,A,15,2,1
13,B,15,1,2
13,C,17,0,1
14,A,3,1,1
14,B,3,1,1
14,C,4,1,0
15,A,5,2,0
15,B,5,2,0
15,C,5,2,0
16,A,9,2,1
16,B,9,0,3
16,C,10,0,2
17,A,7,2,1
17,B,7,0,3
17,C,9,0,1
18,A,7,1,0
18,B,7,1,0
18,C,7,0,1
19,A,5,0,0
19,B,5,0,0
19,C,5,0,0
20,A,10,0,0
20,B,10,0,0
20,C,10,0,0
